model,language,topic_cluster,mean_jsd,median_jsd,n_questions
earth,bengali,family_authority,0.6502,0.6502,1
earth,bengali,inglehart,0.4508,0.4568,11
earth,bengali,religion_morality,0.6459,0.6459,1
earth,hindi,family_authority,0.3886,0.3886,1
earth,hindi,inglehart,0.4015,0.4764,11
earth,hindi,religion_morality,0.6037,0.6037,1
earth,marathi,family_authority,0.2244,0.2244,1
earth,marathi,inglehart,0.404,0.3719,11
earth,marathi,religion_morality,0.6255,0.6255,1
earth,punjabi,family_authority,0.074,0.074,1
earth,punjabi,inglehart,0.4845,0.5534,11
earth,punjabi,religion_morality,0.413,0.413,1
earth,telugu,family_authority,0.0998,0.0998,1
earth,telugu,inglehart,0.3411,0.3156,11
earth,telugu,religion_morality,0.581,0.581,1
fire,bengali,family_authority,0.837,0.837,1
fire,bengali,inglehart,0.4364,0.4568,11
fire,bengali,religion_morality,0.7008,0.7008,1
fire,hindi,family_authority,0.6582,0.6582,1
fire,hindi,inglehart,0.3544,0.3456,11
fire,hindi,religion_morality,0.5809,0.5809,1
fire,marathi,family_authority,0.2722,0.2722,1
fire,marathi,inglehart,0.4001,0.3719,11
fire,marathi,religion_morality,0.6513,0.6513,1
fire,punjabi,family_authority,0.2881,0.2881,1
fire,punjabi,inglehart,0.4843,0.5534,11
fire,punjabi,religion_morality,0.4819,0.4819,1
fire,telugu,family_authority,0.1333,0.1333,1
fire,telugu,inglehart,0.3524,0.3757,11
fire,telugu,religion_morality,0.5865,0.5865,1
global,bengali,family_authority,0.5642,0.5642,1
global,bengali,inglehart,0.3354,0.3237,11
global,bengali,religion_morality,0.6444,0.6444,1
global,hindi,family_authority,0.4294,0.4294,1
global,hindi,inglehart,0.2889,0.2872,11
global,hindi,religion_morality,0.5108,0.5108,1
global,marathi,family_authority,0.1827,0.1827,1
global,marathi,inglehart,0.3129,0.2482,11
global,marathi,religion_morality,0.6043,0.6043,1
global,punjabi,family_authority,0.1149,0.1149,1
global,punjabi,inglehart,0.2887,0.3073,11
global,punjabi,religion_morality,0.4572,0.4572,1
global,telugu,family_authority,0.0309,0.0309,1
global,telugu,inglehart,0.2754,0.2574,11
global,telugu,religion_morality,0.5094,0.5094,1
earth,bengali,OVERALL,0.4811,0.4792,13
earth,hindi,OVERALL,0.4161,0.4764,13
earth,marathi,OVERALL,0.4072,0.3719,13
earth,punjabi,OVERALL,0.4474,0.515,13
earth,telugu,OVERALL,0.341,0.3156,13
fire,bengali,OVERALL,0.4875,0.491,13
fire,hindi,OVERALL,0.3952,0.434,13
fire,marathi,OVERALL,0.4096,0.3719,13
fire,punjabi,OVERALL,0.469,0.515,13
fire,telugu,OVERALL,0.3535,0.3757,13
global,bengali,OVERALL,0.3768,0.3763,13
global,hindi,OVERALL,0.3168,0.2898,13
global,marathi,OVERALL,0.3253,0.2482,13
global,punjabi,OVERALL,0.2883,0.3073,13
global,telugu,OVERALL,0.2746,0.2574,13
